CourseNo,DepartmentCode,MaxOverall2rength,MinOtherBranch2rength,AllocationType,Credit,Slot,Additional Slot,
PGVVNB,PG,0,0,2,6,EU,CX,
PGXGAO,PG,40,0,2,6,CX,JH,
PGGCLT,PG,80,40,2,9,JD,
PGYQUV,PG,20,0,2,6,KV,JX,
PGFHZR,PG,60,20,2,9,UN,
PGKRDZ,PG,60,20,2,9,BV,
PGJPWM,PG,40,20,2,10,JD,
PGKTQX,PG,60,20,2,10,EZ,
PGBNKH,PG,50,20,2,10,GY,
PGEIVW,PG,30,15,2,10,YG,
PGCEOB,PG,40,10,2,9,YG,
PGCFGV,PG,50,20,2,9,MT,
PGUGOU,PG,60,20,2,9,UN,
PGZEYI,PG,50,20,2,9,ZN,
PGRZSJ,PG,50,20,2,9,SX,
PGBJRE,PG,80,40,2,9,SX,
PGWGFF,PG,50,20,2,9,GY,
PGHMYM,PG,40,0,2,9,SX,
HXBUNJ,DS,20,10,1,9,JH,
LFRDXJ,LF,10,10,2,8,EZ,
LFDTAI,LF,10,10,2,11,JD,
LFBMNG,LF,20,10,2,10,SX,
LFBLGN,LF,10,10,2,11,BV,
LFLNNL,LF,30,10,2,9,UN,
LFACOO,LF,10,10,2,12,SX,
LFOFFD,LF,10,10,2,11,UN,
LFMVAT,LF,60,0,2,0,YC,
LFTVQD,LF,60,10,2,9,EZ,
LFORDZ,LF,60,10,2,9,SX,
LFXLAW,LF,10,10,2,11,JD,
LFXXYW,LF,20,10,2,4,JX,
LFUBQV,LF,10,10,2,4,KV,
LFGYHL,LF,60,10,2,9,EU,
LFPMFX,LF,60,10,2,9,GI,
LFDMJU,LF,60,10,2,9,GY,
LFBTLY,LF,60,10,2,9,RF,
LFTMEY,LF,30,10,2,9,UN,
LFDJPF,LF,60,10,2,9,GY,
LFBXBB,LF,60,0,2,9,YG,
LFUVNS,LF,60,10,2,4,YC,
LFKAZX,LF,15,0,2,4,KV,
LFNVWZ,LF,30,10,2,9,BV,
LFRBZC,LF,15,5,2,9,SX,
LFPJTP,LF,40,0,2,12,JD,
LFBMSL,LF,60,10,2,12,EZ,
LFUIYY,LF,60,10,2,4,JX,
LFOXTO,LF,60,10,2,12,EZ,
LFVZVH,LF,60,10,2,10,UN,
LFVJZC,LF,60,10,2,10,BV,
LFGZRD,LF,60,10,2,9,YG,
LFEYHX,LF,60,10,2,9,SX,
LFRZSV,LF,60,10,2,12,EZ,
LFOSDE,LF,60,10,2,12,YG,
LFOASC,LF,60,10,2,9,EZ,
LFHZJW,LF,60,10,2,10,UN,
LFEAFF,LF,60,10,2,10,MT,
