RollNo,CourseNo,ColorGroup,Type,SortOrder
KJ15HVIG,XMIUBV,4,ELEC,1
KJ15HVIG,SFQBNI,0,ELEC,11
KJ15HVIG,SFGHQR,0,ELEC,5
KJ15HVIG,QQIBYU,3,ELEC,8
KJ15HVIG,DNSVRR,1,ELEC,10
KJ15HVIG,DNWTSM,1,ELEC,9
KJ15HVIG,DNYMGM,NULL,CORE,NULL
KJ15HVIG,TCPHOV,2,ELEC,3
KJ15HVIG,TJGDMF,3,ELEC,7
KJ15HVIG,TJTDRY,3,ELEC,6
KJ15QJYW,NMKJIA,0,ELEC,1
KJ15QJYW,XMAUVI,0,ELEC,2
KJ15QJYW,DNSVRR,1,ELEC,6
KJ15QJYW,DNWTSM,1,ELEC,5
KJ15QJYW,TCPHOV,0,ELEC,4
KJ15QJYW,TJTDRY,0,ELEC,7
KJ15DTZZ,NMSVWI,NULL,CORE,NULL
KJ15DTZZ,NMSEGH,0,ELEC,7
KJ15DTZZ,NMKJIA,0,ELEC,8
KJ15DTZZ,DNJEXJ,2,ELEC,4
KJ15DTZZ,DNSVRR,2,ELEC,1
KJ15DTZZ,DNGKDP,2,ELEC,2
KJ15DTZZ,DNOENI,2,ELEC,3
KJ15DTZZ,DDHMRB,0,ELEC,5
KJ15DTZZ,TJGDMF,0,ELEC,6
KJ15DTZZ,TJNLID,0,ELEC,9
KJ15EWGA,GZNRAM,0,ELEC,3
KJ15EWGA,NMPQAJ,0,ELEC,1
KJ15EWGA,NMBUCE,0,ELEC,2
KJ15EWGA,NMZRWR,0,ELEC,6
KJ15EWGA,NMSEGH,0,ELEC,4
KJ15EWGA,DNJEXJ,0,ELEC,5
KJ15VQWG,NMLQKI,4,ELEC,12
KJ15VQWG,NMKJIA,2,ELEC,11
KJ15VQWG,NMXRJS,0,ELEC,1
KJ15VQWG,UFEENI,3,ELEC,18
KJ15VQWG,UFXJYO,3,ELEC,17
KJ15VQWG,QQELSA,5,ELEC,16
KJ15VQWG,QQAJZJ,5,ELEC,14
KJ15VQWG,QQIBYU,5,ELEC,13
KJ15VQWG,QQDNHA,5,ELEC,15
KJ15VQWG,DNNSOC,1,ELEC,3
KJ15VQWG,DNGKDP,1,ELEC,4
KJ15VQWG,DNNRZI,1,ELEC,5
KJ15VQWG,DNTXOD,1,ELEC,6
KJ15VQWG,DNHKAQ,1,ELEC,8
KJ15VQWG,DNIMNG,1,ELEC,7
KJ15VQWG,DNIFQF,1,ELEC,9
KJ15VQWG,DDCVOF,0,ELEC,2
KJ15VQWG,FOXZDS,2,ELEC,10
KJ15VUMR,NMKJIA,0,ELEC,1
KJ15VUMR,XMAUVI,0,ELEC,2
KJ15VUMR,DNSVRR,1,ELEC,6
KJ15VUMR,DNWTSM,1,ELEC,5
KJ15VUMR,TCPHOV,0,ELEC,4
KJ15VUMR,TJTDRY,0,ELEC,7
KJ15OFKV,NMBUCE,NULL,CORE,NULL
KJ15OFKV,NMCFUH,0,ELEC,1
KJ15OFKV,DSAAFM,1,ELEC,5
KJ15OFKV,QQELSA,3,ELEC,9
KJ15OFKV,QQAJZJ,3,ELEC,7
KJ15OFKV,QQIBYU,3,ELEC,6
KJ15OFKV,QQDNHA,3,ELEC,8
KJ15OFKV,DNSVRR,2,ELEC,11
KJ15OFKV,DNWTSM,2,ELEC,12
KJ15OFKV,DNKXCW,2,ELEC,10
KJ15OFKV,DNIMNG,2,ELEC,13
KJ15OFKV,TCPHOV,1,ELEC,3
KJ15OFKV,DDCVOF,0,ELEC,2
KJ15OFKV,TJTDRY,1,ELEC,4
KJ15MJFL,NMCFUH,0,ELEC,1
KJ15MJFL,NMKJIA,4,ELEC,15
KJ15MJFL,NMXRJS,4,ELEC,14
KJ15MJFL,DSAAFM,3,ELEC,12
KJ15MJFL,QQELSA,5,ELEC,19
KJ15MJFL,QQAJZJ,5,ELEC,17
KJ15MJFL,QQIBYU,5,ELEC,16
KJ15MJFL,QQDNHA,5,ELEC,18
KJ15MJFL,DNNSOC,2,ELEC,4
KJ15MJFL,DNSVRR,2,ELEC,9
KJ15MJFL,DNGKDP,2,ELEC,5
KJ15MJFL,DNHKAQ,2,ELEC,7
KJ15MJFL,DNIMNG,2,ELEC,6
KJ15MJFL,DNIFQF,2,ELEC,8
KJ15MJFL,TCPHOV,3,ELEC,10
KJ15MJFL,DDCVOF,1,ELEC,2
KJ15MJFL,DDNATV,1,ELEC,3
KJ15MJFL,FOXZDS,4,ELEC,13
KJ15MJFL,TJTDRY,3,ELEC,11
